,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry
264425,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a292217e32357c9cb3ae49c42566f829.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_a292217e32357c9cb3ae49c42566f829,28145,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/410cf/fod_7ABB8E9D-86E2-49BC-879A-08A7673A818C.jpg,22.08610652316373,1695990545991,-14400,631243949967805951,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/410cf/fod_7ABB8E9D-86E2-49BC-879A-08A7673A818C.jpg,NORTH,0.7216514348983765,DAYLIGHT,-74.006942,40.721164,1701898650,4137021569,TRUNK,6.31243949967806e+17,604222352263217151,POINT (982325.668407204 202016.2748630219)
264757,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_72c9fafcf7a6f0cba8b8c04cce667ec1.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road surface and the visible reflections on the wet pavement.",,1,1,nlbx_72c9fafcf7a6f0cba8b8c04cce667ec1,36421,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/9e552/fod_D6BE35A3-5171-48F7-A312-1C902019D704.jpg,271.0,1696006598521,-14400,631243935107033087,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/9e552/fod_D6BE35A3-5171-48F7-A312-1C902019D704.jpg,WEST,0.8010828495025635,DAYLIGHT,-73.797193,40.666456,455592912,42885647,MOTORWAY_LINK,6.312439351070331e+17,604222337365049343,POINT (1040512.8064966069 182149.68326154826)
266816,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_44f8b2a379c67fa7b123e1839c0fe538.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the white van partially submerged.",,1,1,nlbx_44f8b2a379c67fa7b123e1839c0fe538,36635,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/5f97b/fod_6CF13E99-869F-4BAC-B641-E3AEF51B7213.jpg,160.0792999267578,1695998486064,-14400,631243923119689215,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/5f97b/fod_6CF13E99-869F-4BAC-B641-E3AEF51B7213.jpg,SOUTH,0.6335523128509521,DAYLIGHT,-73.791795,40.718469,9831416075,5840579567,RESIDENTIAL,6.312439231196892e+17,604222325419671551,POINT (1041965.2656711786 201103.02292065875)
267699,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b754d16b7ba429e59a79f38cf0005b8c.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, with water covering the road and vehicles navigating through it.",,1,1,nlbx_b754d16b7ba429e59a79f38cf0005b8c,4145,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8001c/fod_DD10AEB2-BDA7-4BB8-9B54-A9D699F0E5AC.jpg,5.25,1696008569528,-14400,631243922020191231,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8001c/fod_DD10AEB2-BDA7-4BB8-9B54-A9D699F0E5AC.jpg,NORTH,0.7393744587898254,DAYLIGHT,-73.935165,40.834773,9166241150,373850895,MOTORWAY,6.312439220201912e+17,604222324345929727,POINT (1002191.1143642685 243414.4280696227)
269824,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d0218aedf7d1519c88b43b63878db5ba.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, with water reaching the wheels of the vehicles.",,1,1,nlbx_d0218aedf7d1519c88b43b63878db5ba,35964,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/4df5e/fod_804F196C-7EB6-4F59-AFBC-2DCE016542A8.jpg,126.25,1695995170342,-14400,631243951132064767,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/4df5e/fod_804F196C-7EB6-4F59-AFBC-2DCE016542A8.jpg,SOUTH_EAST,0.7249336242675781,DAYLIGHT,-73.981742,40.639705,42510225,5488792666,RESIDENTIAL,6.312439511320648e+17,604222353471176703,POINT (989317.1753994931 172338.82032977793)
270519,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_94c3029861fdf6bae37666beedd65b3e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of traffic cones, which are typically used to indicate hazardous conditions.",,1,1,nlbx_94c3029861fdf6bae37666beedd65b3e,5148,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/596d2/fod_FC0DCAB3-9EA7-4BD9-850A-1E4D13D3B286.jpg,58.59375,1695987268872,-14400,631243920596909055,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/596d2/fod_FC0DCAB3-9EA7-4BD9-850A-1E4D13D3B286.jpg,NORTH_EAST,0.7778055667877197,DAYLIGHT,-73.723945,40.752839,42851966,42851965,SECONDARY,6.31243920596909e+17,604222322869534719,POINT (1060734.024157826 213677.04462548648)
270642,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bce0e6a3193f336547a5bf7de9bd08c2.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the visible reflections on the wet surface.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a hazardous condition.",,1,1,nlbx_bce0e6a3193f336547a5bf7de9bd08c2,37265,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/62ff0/fod_5D3F5EE6-A445-4ED5-B5FE-1A7E0C762E8A.jpg,284.78057861328125,1695991904169,-14400,631243922417911807,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/62ff0/fod_5D3F5EE6-A445-4ED5-B5FE-1A7E0C762E8A.jpg,WEST,0.8006224036216736,DAYLIGHT,-73.925267,40.730356,10087637138,8097303875,UNCLASSIFIED,6.312439224179118e+17,604222324748582911,POINT (1004962.5691517056 205374.0118291581)
270858,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3dc7a91b46304e96446421c366d175e9.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the submerged road markings.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a hazardous driving condition.",,1,1,nlbx_3dc7a91b46304e96446421c366d175e9,20313,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/5f5eb/fod_3D0CCA6B-038F-486B-8C8E-4126DCFD850C.jpg,86.42039202560602,1696015239652,-14400,631243934997488127,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/5f5eb/fod_3D0CCA6B-038F-486B-8C8E-4126DCFD850C.jpg,EAST,0.7236748933792114,DAYLIGHT,-73.787366,40.644613,8873712164,8873712165,MOTORWAY_LINK,6.312439349974881e+17,604222337365049343,POINT (1043258.3356252747 174198.16130465)
273669,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d1fbf6870417a8aa3ef3b0c2e50b95df.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street appears to be flooded, as evidenced by the water level reaching the wheels of the car in the foreground.",,1,1,nlbx_d1fbf6870417a8aa3ef3b0c2e50b95df,15219,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/46625/fod_3B83F4C9-E698-4A5B-8604-785920CA7ED9.jpg,61.3125,1695990165788,-14400,631243922620984319,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/46625/fod_3B83F4C9-E698-4A5B-8604-785920CA7ED9.jpg,NORTH_EAST,0.8066575527191162,DAYLIGHT,-73.88593,40.686159,3638517537,3638517526,SECONDARY,6.312439226209843e+17,604222324882800639,POINT (1015886.0027449848 189283.47356079074)
274623,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_dd09f8d02731421a658dc763f4cc1cf3.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the reflections on the wet surface.","Yes, the street is flooded, as evidenced by the water level reaching the wheels of the cars and the reflections on the wet pavement.",,1,1,nlbx_dd09f8d02731421a658dc763f4cc1cf3,30691,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/484e1/fod_4D55A8FA-50DD-4FF1-BD3B-502FD9F2C21A.jpg,27.64297103881836,1695994601504,-14400,631243919450342399,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/484e1/fod_4D55A8FA-50DD-4FF1-BD3B-502FD9F2C21A.jpg,NORTH_EAST,0.6150825023651123,DAYLIGHT,-73.844441,40.850992,42774829,8998651238,SECONDARY,6.312439194503424e+17,604222321795792895,POINT (1027285.8141817232 249355.23011354057)
274923,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_305e424c90b936cb6e678894308d8c0f.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street is flooded.",,1,1,nlbx_305e424c90b936cb6e678894308d8c0f,27054,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/8fede/fod_9153345D-8B5D-48D2-A8CC-EA784C9077DE.jpg,0.0,1695991250873,-14400,631243951188228095,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/8fede/fod_9153345D-8B5D-48D2-A8CC-EA784C9077DE.jpg,UNKNOWN_HEADING,0.873819887638092,DAYLIGHT,-73.965001,40.644244,9197760558,42492436,RESIDENTIAL,6.312439511882281e+17,604222353471176703,POINT (993962.6749729572 173993.92803871696)
275039,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a24231ca79f4540a381d9bc4c2072bad.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating that the area is likely closed to vehicular traffic.",,1,1,nlbx_a24231ca79f4540a381d9bc4c2072bad,1283,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/33d9c/fod_97DBBD5C-75B3-43C0-AFBF-958A81B4A483.jpg,16.359375,1695987662510,-14400,631243920708803583,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/33d9c/fod_97DBBD5C-75B3-43C0-AFBF-958A81B4A483.jpg,NORTH,0.7455520033836365,DAYLIGHT,-73.728606,40.709034,8411861368,42891113,RESIDENTIAL,6.312439207088036e+17,604222323003752447,POINT (1059492.1071570439 197713.5534584823)
275258,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3f573cc4bb67b33e3332a1a42651778d.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the wet surface.",,1,1,nlbx_3f573cc4bb67b33e3332a1a42651778d,42559,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/eeb50/fod_7321A3D4-8414-467C-AD02-0B46369C7539.jpg,282.482177734375,1695991930519,-14400,631243923202073087,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/eeb50/fod_7321A3D4-8414-467C-AD02-0B46369C7539.jpg,WEST,0.9299796223640442,DAYLIGHT,-73.880984,40.764049,5104224663,42903808,PRIMARY,6.312439232020731e+17,604222325553889279,POINT (1017219.1342081616 217663.03390050784)
276458,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_dd49a2dc82ec20db144d247f5015c016.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the presence of a fire truck and police car, which are typically dispatched to manage such situations.",,1,1,nlbx_dd49a2dc82ec20db144d247f5015c016,11045,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c8a35/fod_5694A15F-03A1-467B-A8C2-76793C36285D.jpg,308.7677307128906,1696001256059,-14400,631243920508849663,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c8a35/fod_5694A15F-03A1-467B-A8C2-76793C36285D.jpg,NORTH_WEST,0.7762341499328613,DAYLIGHT,-73.740648,40.751857,2555726411,42806308,SECONDARY,6.312439205088497e+17,604222322869534719,POINT (1056107.3646345262 213305.12977717226)
277164,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8e9cf28f14f77ceb301f48443a8069ac.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",,1,1,nlbx_8e9cf28f14f77ceb301f48443a8069ac,32434,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/59777/fod_841D2C69-3FDE-4497-AFA7-A8C1070F249F.jpg,182.75,1695990918840,-14400,631243922413267455,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/59777/fod_841D2C69-3FDE-4497-AFA7-A8C1070F249F.jpg,SOUTH,0.8604564666748047,DAYLIGHT,-73.912055,40.728626,42908354,6819995538,SECONDARY,6.312439224132675e+17,604222324748582911,POINT (1008624.9750134752 204747.12448535018)
277557,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_3650c903feaa6931740d27092b63d48b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water is deep enough to cause splashing.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of a road barrier to prevent vehicles from passing through.",,1,1,nlbx_3650c903feaa6931740d27092b63d48b,66,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3f08c/fod_ACDF854D-DE74-475A-A695-B446D03D9274.jpg,257.25,1696007952915,-14400,631243919347344895,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3f08c/fod_ACDF854D-DE74-475A-A695-B446D03D9274.jpg,WEST,0.6046290397644043,DAYLIGHT,-73.787088,40.789466,274284206,3789751281,MOTORWAY_LINK,6.312439193473449e+17,604222321661575167,POINT (1043207.1757896424 226972.58262489218)
280370,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_31005374c4bb22bad587b57ece93ffe0.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the streets, which is evident from the depth of the water reaching the wheels of the vehicles and the reflections on the wet surfaces.","Yes, the street appears to be flooded, as evidenced by the water level reaching the wheels of the vehicles and the reflections on the wet pavement.",,1,1,nlbx_31005374c4bb22bad587b57ece93ffe0,27352,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b631a/fod_DCEEE9E3-BB61-4E25-8A3C-5D1DB079F300.jpg,301.3482311836347,1695994821288,-14400,631243922747971583,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b631a/fod_DCEEE9E3-BB61-4E25-8A3C-5D1DB079F300.jpg,NORTH_WEST,0.6624433994293213,DAYLIGHT,-73.970601,40.75821,3837215731,10165922658,SECONDARY,6.312439227479716e+17,604222325017018367,POINT (992394.6020592944 215514.63061522707)
280789,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_72da040303bedf4b44c25afefd243887.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is a significant depth that can pose significant risks to vehicles and drivers.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the visible waterline on the side of the road.",,1,1,nlbx_72da040303bedf4b44c25afefd243887,898,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/79045/fod_10BBA818-3E03-496F-9165-096AF7179D48.jpg,125.84339904785156,1695990704356,-14400,631243944996476927,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/79045/fod_10BBA818-3E03-496F-9165-096AF7179D48.jpg,SOUTH_EAST,1.0,DAYLIGHT,-74.175047,40.598088,42960280,42960276,TERTIARY,6.312439449964769e+17,604222347297161215,POINT (935638.723942314 157224.60627387086)
281508,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_49ebc9bb4b664111802f9b7d1b429099.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_49ebc9bb4b664111802f9b7d1b429099,11110,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f412d/fod_2A636D29-F701-47A1-BE9D-E95149B3B8B6.jpg,81.73148345947266,1695996105159,-14400,631243950347266047,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f412d/fod_2A636D29-F701-47A1-BE9D-E95149B3B8B6.jpg,EAST,0.8095807433128357,DAYLIGHT,-73.994729,40.577848,3546004695,9978757541,SECONDARY,6.31243950347266e+17,604222352665870335,POINT (985714.263895316 149802.17257369615)
281854,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_acce497143ae72dcc237794fca105862.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is causing significant disruption to traffic flow.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles navigating through it.",,1,1,nlbx_acce497143ae72dcc237794fca105862,695,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/aa4b1/fod_E6555328-04D0-42EB-9C6E-C560B0ECE216.jpg,54.75,1696014019689,-14400,631243921929225215,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/aa4b1/fod_E6555328-04D0-42EB-9C6E-C560B0ECE216.jpg,NORTH_EAST,0.8374902009963989,DAYLIGHT,-73.896464,40.885969,7898910299,481201577,MOTORWAY,6.312439219292252e+17,604222324211711999,POINT (1012878.4281809524 262077.37655823492)
284834,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4e075811faa2fabdfb901d31d0449551.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the bus and car.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_4e075811faa2fabdfb901d31d0449551,10884,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/fb236/fod_7E2BB2E1-AF54-446B-94FA-EEE19BB78473.jpg,308.7345886230469,1695989636567,-14400,631243951131675647,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/fb236/fod_7E2BB2E1-AF54-446B-94FA-EEE19BB78473.jpg,NORTH_WEST,0.7926636338233948,DAYLIGHT,-73.984732,40.642358,42523953,42529793,RESIDENTIAL,6.312439511316756e+17,604222353471176703,POINT (988487.1845811734 173305.22133510813)
285258,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_5a09cd3aaba5b070f55ca62c1d6a0eee.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water, as evidenced by the submerged vehicle and the depth of the water reaching the wheels.","Yes, the street in the image is flooded, as evidenced by the water level reaching the wheels of the car and the submerged road surface.",,1,1,nlbx_5a09cd3aaba5b070f55ca62c1d6a0eee,62780,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d2d2e/fod_74F50234-E3A1-4055-BA91-1F5EFE80FE67.jpg,202.4532647100297,1695997684199,-14400,631243922894754815,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d2d2e/fod_74F50234-E3A1-4055-BA91-1F5EFE80FE67.jpg,SOUTH,0.7356709837913513,DAYLIGHT,-73.956106,40.71052,479716907,479716908,MOTORWAY,6.312439228947548e+17,604222325151236095,POINT (996419.016319511 198141.3348116255)
285628,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_7d16e7587617e9b01eb13e666d611798.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the ground of the tunnel, indicating significant flooding.","Yes, the street in the image appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_7d16e7587617e9b01eb13e666d611798,17996,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b32d2/fod_1CC57EE9-E870-44C0-9849-ED7D620C4310.jpg,8.8,1696001154261,-14400,631243922082967039,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b32d2/fod_1CC57EE9-E870-44C0-9849-ED7D620C4310.jpg,NORTH,0.7293436527252197,DAYLIGHT,-73.942427,40.849495,7911415730,7911452051,MOTORWAY_LINK,6.31243922082967e+17,604222324345929727,POINT (1000178.0421444953 248776.78503184905)
285700,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_cc3ead60ae3af94cc75f81e83991d45b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers, indicating that the area is closed to vehicles.",,1,1,nlbx_cc3ead60ae3af94cc75f81e83991d45b,41581,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/48a51/fod_E170FD3A-0D86-4B04-BB52-54B82FEE25A8.jpg,226.83306884765625,1695999929616,-14400,631243923071817727,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/48a51/fod_E170FD3A-0D86-4B04-BB52-54B82FEE25A8.jpg,SOUTH_WEST,0.9545007348060608,DAYLIGHT,-73.800666,40.695757,42826504,5509068463,RESIDENTIAL,6.312439230718177e+17,604222325419671551,POINT (1039525.0264457321 192822.64952593602)
288189,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_897b23d1720ca4f47a8fdaad478718d5.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicle and the splashes around it.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the splashes around the vehicle.",,1,1,nlbx_897b23d1720ca4f47a8fdaad478718d5,15597,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/1daaf/fod_25F8F2E7-79C4-442F-8690-AEE397E05E66.jpg,33.915561471348816,1695997756200,-14400,631243922960954879,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/1daaf/fod_25F8F2E7-79C4-442F-8690-AEE397E05E66.jpg,NORTH_EAST,0.7284970283508301,DAYLIGHT,-73.837747,40.762175,274312219,9181768445,PRIMARY_LINK,6.312439229609549e+17,604222325285453823,POINT (1029197.6826460396 216999.52381886204)
288312,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a6ab964d6d3d761e1cef05e46133a5de.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the streets, indicating significant flooding.","Yes, the street appears to be flooded, with water covering the road and reflecting the surrounding buildings and vehicles.",,1,1,nlbx_a6ab964d6d3d761e1cef05e46133a5de,33522,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/271d8/fod_76A93304-9EB8-431B-8880-9BB4E2E2BEFE.jpg,349.4515380859375,1695989560077,-14400,631243951193729023,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/271d8/fod_76A93304-9EB8-431B-8880-9BB4E2E2BEFE.jpg,NORTH,0.8220512866973877,DAYLIGHT,-73.959293,40.652771,42491697,42484790,PRIMARY,6.31243951193729e+17,604222353471176703,POINT (995545.271126209 177101.24180617006)
289469,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_bf22f6bd8e3d67aed820b92b7c39e83f.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, with water covering the road and vehicles navigating through it.",,1,1,nlbx_bf22f6bd8e3d67aed820b92b7c39e83f,141,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/7322a/fod_B704FB22-9F31-4577-9696-9A6EE6C5C94A.jpg,322.653564453125,1695988750669,-14400,631243934761227775,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/7322a/fod_B704FB22-9F31-4577-9696-9A6EE6C5C94A.jpg,NORTH_WEST,0.6908202171325684,DAYLIGHT,-73.742255,40.639618,279187223,8806509357,TRUNK,6.312439347612278e+17,604222337096613887,POINT (1055782.465248337 172411.99173870476)
290278,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a3863d2d97d1edecb7de972fbf3d91e0.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the reflections on the wet surface.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_a3863d2d97d1edecb7de972fbf3d91e0,86545,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/6238d/fod_660D82D3-5300-4016-BAD6-F99B51CB7425.jpg,36.00181198120117,1695992586191,-14400,631243922726332927,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/6238d/fod_660D82D3-5300-4016-BAD6-F99B51CB7425.jpg,NORTH_EAST,0.8047372102737427,DAYLIGHT,-73.934124,40.762676,7710100133,4991541893,PRIMARY,6.312439227263329e+17,604222325017018367,POINT (1002498.9400274289 217147.24793309122)
