,image_path,q1,q2,response_1,response_2,Unnamed: 0.1,sentiment_1,sentiment_2,frame_id,,frame_url,camera_heading,captured_at,timezone_offset,h3_index_res12,thumbnail_url,direction,frame_quality,frame_context,gps_info.longitude,gps_info.latitude,osm_info.osm_node_id_from,osm_info.osm_node_id_to,osm_info.road_type,h3_12,h3_index_res06,geometry,choice,pred,tp,fp,tn,fn
119411,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e8d0bf8e64b12f9c607ac5080d2a32d1.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road and the surrounding area, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",,1,1,nlbx_e8d0bf8e64b12f9c607ac5080d2a32d1,514,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/fb183/fod_9843DCF9-BF0E-446C-B4E8-2A2A79AA6F96.jpg,345.5,1696008401417,-14400,631243934828387327,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/fb183/fod_9843DCF9-BF0E-446C-B4E8-2A2A79AA6F96.jpg,NORTH,0.7683728933334351,DAYLIGHT,-73.726753,40.657659,42857012,7771044864,TERTIARY,6.312439348283873e+17,604222337096613887,POINT (1060064.2330681884 178997.83537693197),1.0,1.0,1.0,0.0,0.0,0.0
120710,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_146e35dd65a5a1f7cdf9d9ac1e6d91ad.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for drivers and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles driving through it.",,1,1,nlbx_146e35dd65a5a1f7cdf9d9ac1e6d91ad,31453,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/1b18c/fod_02C65F68-5E20-45E6-97EC-42D85DC53720.jpg,106.0,1695998781931,-14400,631243923093199359,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/1b18c/fod_02C65F68-5E20-45E6-97EC-42D85DC53720.jpg,EAST,0.6660449504852295,DAYLIGHT,-73.829878,40.71676,6204782253,42790335,MOTORWAY_LINK,6.312439230931994e+17,604222325419671551,POINT (1031409.7188115126 200457.5671889669),1.0,1.0,1.0,0.0,0.0,0.0
120771,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_eb00363dd934a7ae5cc36fdcd9e10285.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the roadway, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street in the image is flooded, as evidenced by the water covering the road surface and the vehicles' tires being submerged.",,1,1,nlbx_eb00363dd934a7ae5cc36fdcd9e10285,45599,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/2b409/fod_F1824D2F-40AC-4F62-A451-777F73576AB1.jpg,151.17549161122963,1695995891275,-14400,631243921532406783,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/2b409/fod_F1824D2F-40AC-4F62-A451-777F73576AB1.jpg,SOUTH_EAST,0.7302217483520508,DAYLIGHT,-73.933797,40.807233,9153699986,6515254151,MOTORWAY_LINK,6.312439215324068e+17,604222323809058815,POINT (1002577.2535996793 233380.91525624535),1.0,1.0,1.0,0.0,0.0,0.0
120822,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_4e08817a8168c603aa0ef912da66484e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street appears to be flooded, as evidenced by the water covering the road surface and the presence of traffic cones and barriers, indicating a hazardous driving condition.",,1,1,nlbx_4e08817a8168c603aa0ef912da66484e,8272,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3abf8/fod_3291CC67-B4B8-48C1-A158-F6DD0278C44C.jpg,70.37147521972656,1696000607348,-14400,631243920504636415,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3abf8/fod_3291CC67-B4B8-48C1-A158-F6DD0278C44C.jpg,EAST,0.9579063653945924,DAYLIGHT,-73.761913,40.747314,6212652966,6212653088,MOTORWAY,6.312439205046364e+17,604222322869534719,POINT (1050220.0962801198 211633.241540312),1.0,1.0,1.0,0.0,0.0,0.0
128238,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_28a1fb9620dbace24aa13763c44af812.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",,1,1,nlbx_28a1fb9620dbace24aa13763c44af812,37044,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/3f497/fod_17656CC5-3B14-45AD-8E7A-75750D51C7FC.jpg,100.5,1695992208947,-14400,631243923214130687,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/3f497/fod_17656CC5-3B14-45AD-8E7A-75750D51C7FC.jpg,EAST,0.6818999648094177,DAYLIGHT,-73.888909,40.768893,6358339112,9776249885,TERTIARY,6.312439232141307e+17,604222325553889279,POINT (1015021.5531840663 219424.97201527632),1.0,1.0,1.0,0.0,0.0,0.0
130373,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_061956783d1e74c65dca1c44f81474f7.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water, as evidenced by the depth of the water reaching the wheels of the vehicles and the submerged road signs.","Yes, the street in the image is flooded, as evidenced by the water level reaching the wheels of the vehicles and the presence of standing water on the road.",,1,1,nlbx_061956783d1e74c65dca1c44f81474f7,42458,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/48551/fod_040EEDF8-B560-48B7-82D9-AE185576DFB8.jpg,300.2817077636719,1695993174236,-14400,631243923214412287,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/48551/fod_040EEDF8-B560-48B7-82D9-AE185576DFB8.jpg,NORTH_WEST,0.8752355575561523,DAYLIGHT,-73.88547,40.773157,6358216220,6358216218,TERTIARY,6.312439232144123e+17,604222325553889279,POINT (1015972.1060656579 220979.71355278423),1.0,1.0,1.0,0.0,0.0,0.0
138021,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_50c8d814905629c3ff11e71cc1886e90.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",,1,1,nlbx_50c8d814905629c3ff11e71cc1886e90,68457,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d38aa/fod_1244667C-453D-472C-83E2-7A188FD66641.jpg,120.68597412109376,1695992226971,-14400,631243922738355711,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d38aa/fod_1244667C-453D-472C-83E2-7A188FD66641.jpg,SOUTH_EAST,0.8392482995986938,DAYLIGHT,-73.934906,40.739814,42832509,9981925204,UNCLASSIFIED,6.312439227383557e+17,604222325017018367,POINT (1002288.5058521967 208817.72656444364),1.0,1.0,1.0,0.0,0.0,0.0
138172,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_800b3574ce19a1602d45ecb5a670a4d6.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the streets, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles navigating through it.",,1,1,nlbx_800b3574ce19a1602d45ecb5a670a4d6,110160,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b1d3f/fod_AB1D93CF-3D99-4CE3-AA1A-4567C151E33B.jpg,261.6881103515625,1695992939958,-14400,631243922743569919,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b1d3f/fod_AB1D93CF-3D99-4CE3-AA1A-4567C151E33B.jpg,WEST,0.8453426361083984,DAYLIGHT,-73.932304,40.75195,4841296391,42905209,PRIMARY,6.312439227435699e+17,604222325017018367,POINT (1003006.1384770478 213239.81042481525),1.0,1.0,1.0,0.0,0.0,0.0
140457,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b6832dd77f046d3e29a99bd4e468491b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the street, which is a significant depth for flooding.","Yes, the street in the image is flooded, with water covering the road and reaching the wheels of the parked cars.",,1,1,nlbx_b6832dd77f046d3e29a99bd4e468491b,23833,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/717b9/fod_1BA0B040-D08D-46A2-A723-B9623B9B800B.jpg,261.7925720214844,1695991659576,-14400,631243950347606015,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/717b9/fod_1BA0B040-D08D-46A2-A723-B9623B9B800B.jpg,WEST,0.8212060928344727,DAYLIGHT,-73.992787,40.575757,7512951801,42490613,RESIDENTIAL,6.31243950347606e+17,604222352665870335,POINT (986253.7945126441 149040.40793311765),1.0,1.0,1.0,0.0,0.0,0.0
142657,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_9e319d1a3f123e8cb4d31f9d5bf9654e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the streets, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street in the image is flooded, with water reaching up to the wheels of the cars.",,1,1,nlbx_9e319d1a3f123e8cb4d31f9d5bf9654e,24574,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/bc8d7/fod_310327F9-B3F4-4A03-A850-9FE671489C23.jpg,128.44464111328125,1695990555662,-14400,631243950296427007,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/bc8d7/fod_310327F9-B3F4-4A03-A850-9FE671489C23.jpg,SOUTH_EAST,0.7765044569969177,DAYLIGHT,-73.98615,40.594525,9659353827,42474633,TERTIARY,6.31243950296427e+17,604222352665870335,POINT (988096.4456966869 155878.3016486553),1.0,1.0,1.0,0.0,0.0,0.0
146605,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6fb235a36ebe3230f2234acb99aa2a68.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating a significant flooding event.","Yes, the street is flooded.",,1,1,nlbx_6fb235a36ebe3230f2234acb99aa2a68,10326,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/a1f6e/fod_962B7175-9FF1-427F-AF42-62C0EBA97159.jpg,280.5,1695994173569,-14400,631243923090516991,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/a1f6e/fod_962B7175-9FF1-427F-AF42-62C0EBA97159.jpg,WEST,0.6569998264312744,DAYLIGHT,-73.847628,40.701752,461225626,42838286,PRIMARY,6.31243923090517e+17,604222325419671551,POINT (1026498.7366760322 194980.63660004258),1.0,1.0,1.0,0.0,0.0,0.0
149514,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_716c55eb8185e55c5d084fdc20361043.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding conditions.","Yes, the street is flooded.",,1,1,nlbx_716c55eb8185e55c5d084fdc20361043,4557,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/89399/fod_95DB92D7-4FEC-4CC5-875C-58027A0F01B2.jpg,30.01349567601465,1695991720629,-14400,631243920656408063,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/89399/fod_95DB92D7-4FEC-4CC5-875C-58027A0F01B2.jpg,NORTH_EAST,0.6155390739440918,DAYLIGHT,-73.729586,40.678896,462767510,360738566,MOTORWAY,6.31243920656408e+17,604222323003752447,POINT (1059254.3130054867 186732.6013346449),1.0,1.0,1.0,0.0,0.0,0.0
154101,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_c90fc68ffe398f535b271b1169f6a064.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the streets, which is evident from the depth of the water reaching the wheels of the vehicles and the reflections on the wet surfaces.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_c90fc68ffe398f535b271b1169f6a064,7417,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d1e26/fod_A96F99E0-CAA1-447F-A131-9D5F7D24DF32.jpg,24.4375,1695990349333,-14400,631243921997972479,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d1e26/fod_A96F99E0-CAA1-447F-A131-9D5F7D24DF32.jpg,NORTH_EAST,0.8116409778594971,DAYLIGHT,-73.908981,40.823595,42732965,2827501292,SECONDARY,6.312439219979725e+17,604222324345929727,POINT (1009441.0016042686 239348.34177730657),1.0,1.0,1.0,0.0,0.0,0.0
159082,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_b970b6017f53f1e4f6dcb8a50b956e9d.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the street, indicating significant flooding.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of orange traffic cones and barriers, indicating a response to the flooding.",,1,1,nlbx_b970b6017f53f1e4f6dcb8a50b956e9d,58870,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d178c/fod_8ED40CC0-38B0-47D1-97B4-838D47E399EE.jpg,352.75,1695993637394,-14400,631243922894009855,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d178c/fod_8ED40CC0-38B0-47D1-97B4-838D47E399EE.jpg,NORTH,0.8429635167121887,DAYLIGHT,-73.947837,40.704617,42501130,6212365401,RESIDENTIAL,6.312439228940099e+17,604222325151236095,POINT (998712.7777562751 195991.9521559577),1.0,1.0,1.0,0.0,0.0,0.0
160281,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_2a6f6b4d63fd30fd35aa68052b862eae.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the pedestrian walkway.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of barriers to prevent vehicles from entering the affected area.",,1,1,nlbx_2a6f6b4d63fd30fd35aa68052b862eae,30418,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b6033/fod_A96D1366-7F90-41B8-9656-DA164D89C9E1.jpg,258.01746262127864,1695996877427,-14400,631243949982516223,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b6033/fod_A96D1366-7F90-41B8-9656-DA164D89C9E1.jpg,WEST,0.7958242297172546,DAYLIGHT,-73.993317,40.709597,9907939580,9907939579,PRIMARY,6.312439499825162e+17,604222352263217151,POINT (986102.7543859212 197802.0604940191),1.0,1.0,1.0,0.0,0.0,0.0
161555,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_70c04123ea2f6c6eecc2b1da38c141b5.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is indicative of significant rainfall or a flooding event.","Yes, the street in the image appears to be flooded, with water covering the road and reaching the base of the traffic lights and street signs.",,1,1,nlbx_70c04123ea2f6c6eecc2b1da38c141b5,46380,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/a173a/fod_06783806-6D40-4D3D-BEBD-82102706AED5.jpg,113.4375,1695997228274,-14400,631243921534293503,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/a173a/fod_06783806-6D40-4D3D-BEBD-82102706AED5.jpg,SOUTH_EAST,0.7630212306976318,DAYLIGHT,-73.937427,40.793529,8386364995,4980851596,RESIDENTIAL,6.312439215342935e+17,604222323809058815,POINT (1001575.9089622633 228387.33925682993),1.0,1.0,1.0,0.0,0.0,0.0
164532,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0c4f3c6d0fb543b2ead90e324a8686da.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the splashes created by the moving car.","Yes, the street is flooded, as evidenced by the water covering the road and the splashes around the vehicles.",,1,1,nlbx_0c4f3c6d0fb543b2ead90e324a8686da,194,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/b6906/fod_3DFA3713-F684-4A58-8CFE-6903F68FACA9.jpg,184.25,1695988474167,-14400,631243934827289599,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/b6906/fod_3DFA3713-F684-4A58-8CFE-6903F68FACA9.jpg,SOUTH,0.84793621301651,DAYLIGHT,-73.729601,40.655756,42895368,42827297,RESIDENTIAL,6.312439348272896e+17,604222337096613887,POINT (1059276.1813031447 178302.07027802602),1.0,1.0,1.0,0.0,0.0,0.0
164549,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0307fe6edfb6f7f75a8718531ff4a5d1.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",,1,1,nlbx_0307fe6edfb6f7f75a8718531ff4a5d1,31752,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/f0302/fod_0E288749-C5BF-41CC-80A1-BBB65DC8E9C8.jpg,121.90628814697266,1695992156579,-14400,631243950297519615,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/f0302/fod_0E288749-C5BF-41CC-80A1-BBB65DC8E9C8.jpg,SOUTH_EAST,0.7643727660179138,DAYLIGHT,-73.985379,40.596814,42488034,42488037,SECONDARY,6.312439502975196e+17,604222352665870335,POINT (988310.4270242905 156712.27962236106),1.0,1.0,1.0,0.0,0.0,0.0
164740,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_1c759fb0354c05857e6b8600a3cd75e1.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the presence of vehicles navigating through it.",,1,1,nlbx_1c759fb0354c05857e6b8600a3cd75e1,11257,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/d7b17/fod_8579F067-49DD-4B9D-8831-DB5B262A8D73.jpg,112.75,1696003427542,-14400,631243919496659967,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/d7b17/fod_8579F067-49DD-4B9D-8831-DB5B262A8D73.jpg,SOUTH_EAST,0.6648099422454834,DAYLIGHT,-73.844195,40.889189,42741822,42741825,PRIMARY,6.3124391949666e+17,604222321795792895,POINT (1027329.1110640806 263271.9750531053),1.0,1.0,1.0,0.0,0.0,0.0
167104,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_6921837dd8473c4775b3e471129f24e9.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the fact that the water level is higher than the wheels of the vehicles.","Yes, the street in the image is flooded, as evidenced by the water level reaching the wheels of the cars and the presence of standing water on the road.",,1,1,nlbx_6921837dd8473c4775b3e471129f24e9,844,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/0fbdd/fod_05DBE2E0-E317-4FA6-AE59-61EE9518DF72.jpg,119.694620278026,1695993062014,-14400,631243921529653759,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/0fbdd/fod_05DBE2E0-E317-4FA6-AE59-61EE9518DF72.jpg,SOUTH_EAST,0.7228431701660156,DAYLIGHT,-73.949166,40.79175,7787545803,6254630464,RESIDENTIAL,6.312439215296538e+17,604222323809058815,POINT (998325.8461487882 227737.07995660568),1.0,1.0,1.0,0.0,0.0,0.0
167557,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_a0479b1e678a84d7cd7500980346d33f.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water, which is evident from the depth of the water reaching the wheels of the vehicles and the significant splashes as they move through the flooded area.","Yes, the street in the image is flooded, with water covering the roadway and reaching the base of the overpass.",,1,1,nlbx_a0479b1e678a84d7cd7500980346d33f,42640,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/85165/fod_7B2CFEBD-7874-45AE-916D-3886EBA9F371.jpg,162.2853546142578,1695991812338,-14400,631243923245838847,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/85165/fod_7B2CFEBD-7874-45AE-916D-3886EBA9F371.jpg,SOUTH,0.8847008943557739,DAYLIGHT,-73.902369,40.762721,482568762,482568765,MOTORWAY,6.312439232458388e+17,604222325553889279,POINT (1011295.711660947 217171.86624810865),1.0,1.0,1.0,0.0,0.0,0.0
167725,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f3c6e6e0422b3a8c08207f834eaaa310.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is a significant hazard for vehicles and can lead to dangerous driving conditions.","Yes, the street appears to be flooded, as evidenced by the water covering the road and the vehicles' tires being submerged.",,1,1,nlbx_f3c6e6e0422b3a8c08207f834eaaa310,25225,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/cf0df/fod_64D1D7DD-3360-46B3-8100-C50AA65EC68B.jpg,351.5,1696006082649,-14400,631243922828898815,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/cf0df/fod_64D1D7DD-3360-46B3-8100-C50AA65EC68B.jpg,NORTH,0.8380306959152222,DAYLIGHT,-73.96931,40.695599,9838872350,9838872439,RESIDENTIAL,6.312439228288988e+17,604222325151236095,POINT (992760.2848346466 192703.5941214356),1.0,1.0,1.0,0.0,0.0,0.0
171422,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_e589127945de3f1d809cf539cd6ddec2.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water covering the road, which is evident from the submerged vehicles and the depth of the water reaching the wheels of the cars.","Yes, the street is flooded, as evidenced by the water covering the road and the presence of traffic cones and barriers indicating a closed-off area.",,1,1,nlbx_e589127945de3f1d809cf539cd6ddec2,27358,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/c0767/fod_D1AE593B-5099-4F91-A765-3763330813E3.jpg,336.0,1696000337172,-14400,631243923289631231,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/c0767/fod_D1AE593B-5099-4F91-A765-3763330813E3.jpg,NORTH_WEST,0.8533601760864258,DAYLIGHT,-73.929375,40.799898,371227944,371227976,MOTORWAY,6.312439232896312e+17,604222325553889279,POINT (1003803.5744499245 230709.4810485726),1.0,1.0,1.0,0.0,0.0,0.0
173005,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_0d04e632085132e3a0e9be113338b6d4.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, indicating significant flooding.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the reflections on the surface.",,1,1,nlbx_0d04e632085132e3a0e9be113338b6d4,46641,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/90833/fod_28D01D45-5645-4941-AE46-34FD3FD8697F.jpg,111.4356460571289,1695992108971,-14400,631243922738961407,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/90833/fod_28D01D45-5645-4941-AE46-34FD3FD8697F.jpg,EAST,0.8059704303741455,DAYLIGHT,-73.935968,40.740255,9179115032,8626128227,UNCLASSIFIED,6.312439227389614e+17,604222325017018367,POINT (1001994.09123872 208978.17968826278),1.0,1.0,1.0,0.0,0.0,0.0
175325,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_d279d4a27fb587253d3774ba6b624a54.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the fact that the water level is higher than the wheels of the vehicles.","Yes, the street is flooded, as evidenced by the water covering the road and the vehicles partially submerged.",,1,1,nlbx_d279d4a27fb587253d3774ba6b624a54,47071,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/a864c/fod_96132E87-98C4-44DB-8AE2-075C42017BDE.jpg,3.349609375,1696002246985,-14400,631243922083787775,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/a864c/fod_96132E87-98C4-44DB-8AE2-075C42017BDE.jpg,NORTH,0.8211039304733276,DAYLIGHT,-73.943792,40.845021,7911412098,2032551989,SECONDARY,6.312439220837878e+17,604222324345929727,POINT (999801.4481698569 247146.4951963492),1.0,1.0,1.0,0.0,0.0,0.0
180040,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_f54bef0a5768847d50bb2370b2f51e7e.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the cars and the fact that the water level is higher than the wheels of the white SUV on the right.","Yes, the street in the image is flooded, as evidenced by the water covering the road and the vehicles' tires.",,1,1,nlbx_f54bef0a5768847d50bb2370b2f51e7e,21094,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/84400/fod_B4F9DFB4-E55C-49AD-BCE5-9913D870EBF7.jpg,346.9559326171875,1695997162761,-14400,631243951185729535,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/84400/fod_B4F9DFB4-E55C-49AD-BCE5-9913D870EBF7.jpg,NORTH,0.8133596181869507,DAYLIGHT,-73.971915,40.65013,1701116536,4734548560,SECONDARY,6.312439511857295e+17,604222353471176703,POINT (992043.2581882302 176137.66756516663),1.0,1.0,1.0,0.0,0.0,0.0
183659,/share/ju/nexar_data/training_datasets/street_flooding/all_no_letterboxing/nlbx_8ece5bb5f066252db10bfab03790b11b.jpg,Does this image show more than a foot of standing water?,Is the street in this image flooded?,"Yes, the image clearly shows more than a foot of standing water on the road, which is evident from the depth of the water reaching the wheels of the vehicles and the fact that the water level is higher than the wheels of the yellow van.","Yes, the street is flooded, as evidenced by the water splashing around the wheels of the yellow vehicle and the puddles on the road.",,1,1,nlbx_8ece5bb5f066252db10bfab03790b11b,9646,https://external-api.getnexar.com/aod/full/frame/raw/2023/09/29/802a4/fod_0789F2C1-7812-43AC-81C9-CDB6B82729C7.jpg,231.0,1695988186547,-14400,631243950338216959,https://external-api.getnexar.com/aod/thumbnail/frame/raw/2023/09/29/802a4/fod_0789F2C1-7812-43AC-81C9-CDB6B82729C7.jpg,SOUTH_WEST,0.7302721738815308,DAYLIGHT,-73.999595,40.596524,42469053,598784403,MOTORWAY_LINK,6.31243950338217e+17,604222352665870335,POINT (984362.4980283598 156606.27530635605),1.0,1.0,1.0,0.0,0.0,0.0
